station,line
Lo Wu,East Rail Line
Lok Ma Chau,East Rail Line
Kwu Tung,East Rail Line
Sheung Shui,East Rail Line
Fanling,East Rail Line
Tai Wo,East Rail Line
Tai Po Market,East Rail Line
University,East Rail Line
Racecourse,East Rail Line
Fo Tan,East Rail Line
Sha Tin,East Rail Line
Tai Wai,East Rail Line
Kowloon Tong,East Rail Line
Mong Kok East,East Rail Line
Hung Hom,East Rail Line
Whampoa,Kwun Tong Line
Ho Man Tin,Kwun Tong Line
Yau Ma Tei,Kwun Tong Line
Mong Kok,Kwun Tong Line
Prince Edward,Kwun Tong Line
Shek Kip Mei,Kwun Tong Line
Kowloon Tong,Kwun Tong Line
Lok Fu,Kwun Tong Line
Wong Tai Sin,Kwun Tong Line
Diamond Hill,Kwun Tong Line
Choi Hung,Kwun Tong Line
Kowloon Bay,Kwun Tong Line
Ngau Tau Kok,Kwun Tong Line
Kwun Tong,Kwun Tong Line
Lam Tin,Kwun Tong Line
Yau Tong,Kwun Tong Line
Tiu Keng Leng,Kwun Tong Line
Tsuen Wan,Tsuen Wan Line
Tai Wo Hau,Tsuen Wan Line
Kwai Hing,Tsuen Wan Line
Kwai Fong,Tsuen Wan Line
Lai King,Tsuen Wan Line
Mei Foo,Tsuen Wan Line
Lai Chi Kok,Tsuen Wan Line
Cheung Sha Wan,Tsuen Wan Line
Sham Shui Po,Tsuen Wan Line
Prince Edward,Tsuen Wan Line
Mong Kok,Tsuen Wan Line
Yau Ma Tei,Tsuen Wan Line
Jordan,Tsuen Wan Line
Tsim Sha Tsui,Tsuen Wan Line
Admiralty,Tsuen Wan Line
Central,Tsuen Wan Line
Kennedy Town,Island Line
HKU,Island Line
Sai Ying Pun,Island Line
Sheung Wan,Island Line
Central,Island Line
Admiralty,Island Line
Wan Chai,Island Line
Causeway Bay,Island Line
Tin Hau,Island Line
Fortress Hill,Island Line
North Point,Island Line
Quarry Bay,Island Line
Tai Koo,Island Line
Sai Wan Ho,Island Line
Shau Kei Wan,Island Line
Heng Fa Chuen,Island Line
Chai Wan,Island Line
Tung Chung,Tung Chung Line
Sunny Bay,Tung Chung Line
Tsing Yi,Tung Chung Line
Lai King,Tung Chung Line
Nam Cheong,Tung Chung Line
Olympic,Tung Chung Line
Kowloon,Tung Chung Line
Hong Kong,Tung Chung Line
AsiaWorld-Expo,Airport Express
Airport,Airport Express
Tsing Yi,Airport Express
Kowloon,Airport Express
Hong Kong,Airport Express
Po Lam,Tseung Kwan O Line
Hang Hau,Tseung Kwan O Line
Lohas Park,Tseung Kwan O Line
Tseung Kwan O,Tseung Kwan O Line
Tiu Keng Leng,Tseung Kwan O Line
Yau Tong,Tseung Kwan O Line
Quarry Bay,Tseung Kwan O Line
North Point,Tseung Kwan O Line
Tuen Mun,West Rail Line
Siu Hong,West Rail Line
Tin Shui Wai,West Rail Line
Long Ping,West Rail Line
Yuen Long,West Rail Line
Kam Sheung Road,West Rail Line
Tsuen Wan West,West Rail Line
Mei Foo,West Rail Line
Nam Cheong,West Rail Line
Austin,West Rail Line
East Tsim Sha Tsui,West Rail Line
Hung Hom,West Rail Line
Wu Kai Sha,Ma On Shan Line
Ma On Shan,Ma On Shan Line
Heng On,Ma On Shan Line
Tai Shui Hang,Ma On Shan Line
Shek Mun,Ma On Shan Line
City One,Ma On Shan Line
Sha Tin Wai,Ma On Shan Line
Che Kung Temple,Ma On Shan Line
Tai Wai,Ma On Shan Line
Disneyland Resort,Disneyland Resort Line
Sunny Bay,Disneyland Resort Line
